Transaction_ID,Date,Category,Region,Sales_Amount,Quantity,Discount,Profit_Margin,Payment_Method,Customer_Rating,Net_Profit
TRX-000000,2022-09-30 09:00:00,Home & Kitchen,Latin America,4820.79,2,0.04,0.1,PayPal,2.0,482.08
TRX-000001,2022-11-25 16:00:00,Beauty,Middle East,4408.5,4,0.02,0.14,Crypto,3.7,617.19
TRX-000002,2022-05-15 09:00:00,Beauty,Asia-Pacific,4549.1,6,0.2,0.33,PayPal,4.3,1501.2
TRX-000003,2022-05-06 20:00:00,Sports,North America,3028.47,5,0.2,0.35,PayPal,2.5,1059.96
TRX-000004,2022-05-18 04:00:00,Books,Asia-Pacific,2865.82,3,0.26,0.09,PayPal,2.5,257.92
TRX-000005,2022-06-26 17:00:00,Home & Kitchen,North America,272.47,4,0.25,0.07,Crypto,1.7,19.07
TRX-000006,2022-07-27 00:00:00,Home & Kitchen,Middle East,2815.42,5,0.25,0.11,Crypto,2.3,309.7
TRX-000007,2022-01-13 21:00:00,Sports,Europe,2365.01,8,0.09,0.07,Crypto,3.4,165.55
TRX-000008,2022-12-05 00:00:00,Beauty,Europe,2460.58,7,0.25,0.14,Bank Transfer,3.2,344.48
TRX-000009,2022-10-23 23:00:00,Electronics,Europe,1347.49,1,0.17,0.23,Crypto,1.8,309.92
TRX-000010,2022-12-05 16:00:00,Beauty,Middle East,4663.4,2,0.06,0.34,Bank Transfer,3.7,1585.56
TRX-000011,2022-06-03 23:00:00,Beauty,Asia-Pacific,784.17,4,0.0,0.1,Credit Card,3.1,78.42
TRX-000012,2023-01-18 04:00:00,Electronics,Latin America,2428.13,1,0.02,0.29,Bank Transfer,3.1,704.16
TRX-000013,2022-02-09 04:00:00,Fashion,Middle East,2625.86,3,0.2,0.07,Credit Card,4.3,183.81
TRX-000014,2022-05-22 06:00:00,Home & Kitchen,Middle East,4992.14,6,0.03,0.25,PayPal,5.0,1248.04
TRX-000015,2022-06-08 08:00:00,Home & Kitchen,Middle East,2531.42,8,0.02,0.22,PayPal,2.1,556.91
TRX-000016,2022-05-16 06:00:00,Beauty,Middle East,3318.5,6,0.22,0.26,Credit Card,3.3,862.81
